system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
30_227,0,1,4.0,-2.4940376390652323,0.0,4.0,4.0,0.0,-49.09504131804954,4.0,4.0,2015,3,"{""type"":""Point"",""coordinates"":[-49.09504131804954,-2.4940376390652323]}"
30_228,0,3,1.0,-20.45773820713171,0.0,1.0,1.0,0.0,-43.55396315101511,7.0,1.0,2015,2,"{""type"":""Point"",""coordinates"":[-43.55396315101511,-20.45773820713171]}"
30_229,0,1,3.0,-4.117203525940794,0.0,3.0,3.0,0.0,-48.86058102889436,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-48.86058102889436,-4.117203525940794]}"
30_231,0,1,1.0,-4.250603345632544,0.0,1.0,1.0,1.0,-49.494432293369094,6.0,2.0,2015,5,"{""type"":""Point"",""coordinates"":[-49.494432293369094,-4.250603345632544]}"
30_233,0,1,6.0,-12.18236797829427,0.0,6.0,6.0,0.0,-63.299292422075844,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-63.299292422075844,-12.18236797829427]}"
30_234,0,1,0.0,-16.961584952866946,0.0,0.0,0.0,0.0,-45.58083192657397,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-45.58083192657397,-16.961584952866946]}"
30_237,0,1,8.0,-1.1977686840807618,0.0,8.0,8.0,0.0,-52.74022507794975,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-52.74022507794975,-1.1977686840807618]}"
30_238,0,3,0.0,-16.486196504510893,0.0,0.0,0.0,0.0,-52.36670558281286,8.0,0.0,2015,2,"{""type"":""Point"",""coordinates"":[-52.36670558281286,-16.486196504510893]}"
30_239,0,1,3.0,-15.640253001455536,0.0,3.0,3.0,0.0,-44.75510051741131,5.0,3.0,2015,3,"{""type"":""Point"",""coordinates"":[-44.75510051741131,-15.640253001455536]}"
30_242,0,1,0.0,-10.337677542354832,0.0,0.0,0.0,0.0,-60.014422922635966,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.014422922635966,-10.337677542354832]}"
30_244,0,3,0.0,-19.942464560160754,0.0,0.0,0.0,8.0,-47.72951225465947,0.0,8.0,2015,2,"{""type"":""Point"",""coordinates"":[-47.72951225465947,-19.942464560160754]}"
30_245,0,3,0.0,-19.306187844418897,0.0,0.0,0.0,5.0,-48.27631676810303,3.0,5.0,2015,2,"{""type"":""Point"",""coordinates"":[-48.27631676810303,-19.306187844418897]}"
30_249,0,1,5.0,-1.8572219341529024,0.0,5.0,5.0,0.0,-46.38635124184395,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.38635124184395,-1.8572219341529024]}"
30_250,0,1,4.0,0.9953782505686376,0.0,4.0,4.0,0.0,-60.75202960242652,4.0,4.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.75202960242652,0.9953782505686376]}"
30_251,0,3,2.0,-11.46093097361788,0.0,2.0,2.0,0.0,-48.18549709287854,6.0,2.0,2015,2,"{""type"":""Point"",""coordinates"":[-48.18549709287854,-11.46093097361788]}"
30_252,0,3,1.0,-16.897175746995572,0.0,1.0,1.0,0.0,-40.45477542080276,7.0,1.0,2015,1,"{""type"":""Point"",""coordinates"":[-40.45477542080276,-16.897175746995572]}"
30_255,0,3,4.0,-20.904829724038,0.0,4.0,4.0,0.0,-57.43616822568454,4.0,4.0,2015,1,"{""type"":""Point"",""coordinates"":[-57.43616822568454,-20.904829724038]}"
30_256,0,1,0.0,-11.891313826239545,0.0,0.0,0.0,5.0,-51.38951821674764,3.0,5.0,2015,2,"{""type"":""Point"",""coordinates"":[-51.38951821674764,-11.891313826239545]}"
30_257,0,1,0.0,-13.386469785128075,0.0,0.0,0.0,0.0,-60.91480433190898,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.91480433190898,-13.386469785128075]}"
30_258,0,1,4.0,-1.6179107424634624,0.0,4.0,4.0,0.0,-53.21723049381721,4.0,4.0,2015,2,"{""type"":""Point"",""coordinates"":[-53.21723049381721,-1.6179107424634624]}"
30_262,0,1,1.0,-3.2011914307241183,0.0,1.0,1.0,0.0,-44.63248048112901,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-44.63248048112901,-3.2011914307241183]}"
30_263,0,1,7.0,1.504723016664406,0.0,7.0,7.0,0.0,-61.123662635466786,1.0,7.0,2015,3,"{""type"":""Point"",""coordinates"":[-61.123662635466786,1.504723016664406]}"
30_264,0,2,0.0,-15.302576286155011,0.0,0.0,0.0,0.0,-47.57024095478508,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-47.57024095478508,-15.302576286155011]}"
30_265,0,1,4.0,-4.706588183851612,0.0,4.0,4.0,2.0,-61.25625397140281,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-61.25625397140281,-4.706588183851612]}"
30_266,0,3,2.0,-21.679626656591086,0.0,2.0,2.0,1.0,-41.136057732279,5.0,3.0,2015,4,"{""type"":""Point"",""coordinates"":[-41.136057732279,-21.679626656591086]}"
30_267,0,1,0.0,-3.5310528030528063,0.0,0.0,0.0,0.0,-52.99004655846338,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-52.99004655846338,-3.5310528030528063]}"
30_268,0,1,1.0,-26.292834966658482,0.0,1.0,1.0,0.0,-49.513027419750365,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-49.513027419750365,-26.292834966658482]}"
30_269,0,1,5.0,-7.041758764920307,0.0,5.0,5.0,0.0,-59.484057578891814,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-59.484057578891814,-7.041758764920307]}"
30_270,0,3,0.0,-3.7229329477407367,0.0,0.0,0.0,0.0,-49.22278175145135,8.0,0.0,2015,1,"{""type"":""Point"",""coordinates"":[-49.22278175145135,-3.7229329477407367]}"
30_271,0,1,0.0,-10.789619961795363,0.0,0.0,0.0,1.0,-43.45586712198926,7.0,1.0,2015,3,"{""type"":""Point"",""coordinates"":[-43.45586712198926,-10.789619961795363]}"
30_272,0,1,8.0,-4.219341973745185,0.0,8.0,8.0,0.0,-46.742084094355285,0.0,8.0,2015,3,"{""type"":""Point"",""coordinates"":[-46.742084094355285,-4.219341973745185]}"
30_273,0,1,6.0,-7.059275912960639,0.0,6.0,6.0,0.0,-55.31578482904882,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-55.31578482904882,-7.059275912960639]}"
30_274,0,3,6.0,-13.343889640660805,0.0,6.0,6.0,0.0,-61.874474549933865,2.0,6.0,2015,2,"{""type"":""Point"",""coordinates"":[-61.874474549933865,-13.343889640660805]}"
30_275,0,1,5.0,-4.472397389281653,0.0,5.0,5.0,0.0,-60.308711009713534,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-60.308711009713534,-4.472397389281653]}"
30_279,0,5,0.0,-3.282848290050583,0.0,0.0,0.0,4.0,-60.10551209244571,4.0,4.0,2015,1,"{""type"":""Point"",""coordinates"":[-60.10551209244571,-3.282848290050583]}"
30_280,0,1,4.0,-2.433940346557635,0.0,4.0,4.0,0.0,-47.019933011733464,4.0,4.0,2015,3,"{""type"":""Point"",""coordinates"":[-47.019933011733464,-2.433940346557635]}"
30_286,0,3,3.0,-5.746298293691546,0.0,3.0,3.0,0.0,-52.1198485427368,5.0,3.0,2015,1,"{""type"":""Point"",""coordinates"":[-52.1198485427368,-5.746298293691546]}"
