system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
17_50,1,3,6.0,-21.447861313288247,0.0,6.0,6.0,0.0,-54.88674944935335,2.0,6.0,2002,2,"{""type"":""Point"",""coordinates"":[-54.88674944935335,-21.447861313288247]}"
17_68,1,3,1.0,-18.131191452790567,0.0,1.0,1.0,0.0,-48.76760539698799,7.0,1.0,2002,1,"{""type"":""Point"",""coordinates"":[-48.76760539698799,-18.131191452790567]}"
17_143,1,3,4.0,-11.945751732457184,0.0,4.0,4.0,0.0,-38.476954659756814,4.0,4.0,2002,1,"{""type"":""Point"",""coordinates"":[-38.476954659756814,-11.945751732457184]}"
17_152,1,1,6.0,-0.3173298741152193,0.0,6.0,6.0,0.0,-51.71264222444543,2.0,6.0,2002,3,"{""type"":""Point"",""coordinates"":[-51.71264222444543,-0.3173298741152193]}"
17_157,1,5,5.0,-3.732095763638757,0.0,5.0,5.0,0.0,-46.724027957144486,3.0,5.0,2002,1,"{""type"":""Point"",""coordinates"":[-46.724027957144486,-3.732095763638757]}"
17_175,1,1,5.0,-16.237991991508668,0.0,5.0,5.0,0.0,-59.18896100805857,3.0,5.0,2002,3,"{""type"":""Point"",""coordinates"":[-59.18896100805857,-16.237991991508668]}"
17_181,1,1,5.0,-15.943164915260644,0.0,5.0,5.0,0.0,-53.27705829173957,3.0,5.0,2002,3,"{""type"":""Point"",""coordinates"":[-53.27705829173957,-15.943164915260644]}"
17_194,0,2,0.0,-22.28733694629794,0.0,0.0,0.0,4.0,-52.854760276674966,4.0,4.0,2002,1,"{""type"":""Point"",""coordinates"":[-52.854760276674966,-22.28733694629794]}"
17_195,1,2,7.0,-28.165552839462446,0.0,7.0,7.0,0.0,-51.238870743600785,1.0,7.0,2002,3,"{""type"":""Point"",""coordinates"":[-51.238870743600785,-28.165552839462446]}"
17_245,1,3,7.0,-30.876668366935156,0.0,7.0,7.0,0.0,-54.12084583811304,1.0,7.0,2002,2,"{""type"":""Point"",""coordinates"":[-54.12084583811304,-30.876668366935156]}"
17_286,0,1,2.0,0.4989692245641901,4.0,2.0,2.0,0.0,-61.2651472927156,2.0,6.0,2002,2,"{""type"":""Point"",""coordinates"":[-61.2651472927156,0.4989692245641901]}"
17_342,1,2,5.0,-14.991040545622365,0.0,5.0,5.0,0.0,-45.29193373120114,3.0,5.0,2002,4,"{""type"":""Point"",""coordinates"":[-45.29193373120114,-14.991040545622365]}"
17_367,1,1,4.0,-5.943837824669429,0.0,4.0,4.0,0.0,-48.28601857317151,4.0,4.0,2002,3,"{""type"":""Point"",""coordinates"":[-48.28601857317151,-5.943837824669429]}"
17_371,0,1,1.0,-11.58974938536062,0.0,1.0,1.0,1.0,-37.79540285369533,6.0,2.0,2002,3,"{""type"":""Point"",""coordinates"":[-37.79540285369533,-11.58974938536062]}"
17_408,1,3,0.0,-15.321171412536287,0.0,0.0,0.0,0.0,-47.67049294049282,8.0,0.0,2002,2,"{""type"":""Point"",""coordinates"":[-47.67049294049282,-15.321171412536287]}"
17_460,1,1,7.0,-10.708502091639373,0.0,7.0,7.0,0.0,-53.90066876197535,1.0,7.0,2002,3,"{""type"":""Point"",""coordinates"":[-53.90066876197535,-10.708502091639373]}"
17_481,1,3,1.0,-19.140448674498845,0.0,1.0,1.0,0.0,-47.05739275908124,7.0,1.0,2002,1,"{""type"":""Point"",""coordinates"":[-47.05739275908124,-19.140448674498845]}"
17_560,1,1,8.0,-15.503080257570494,0.0,8.0,8.0,0.0,-57.951172378070275,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-57.951172378070275,-15.503080257570494]}"
17_583,0,5,0.0,-3.29147211677813,0.0,0.0,0.0,1.0,-59.92899313911622,7.0,1.0,2002,1,"{""type"":""Point"",""coordinates"":[-59.92899313911622,-3.29147211677813]}"
17_649,1,3,7.0,-29.107705909447,0.0,7.0,7.0,0.0,-51.97566893963562,1.0,7.0,2002,1,"{""type"":""Point"",""coordinates"":[-51.97566893963562,-29.107705909447]}"
17_669,1,1,8.0,-17.158316000089126,0.0,8.0,8.0,0.0,-45.65305647541719,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-45.65305647541719,-17.158316000089126]}"
17_673,1,1,8.0,-15.706818164008794,0.0,8.0,8.0,0.0,-58.479381765132544,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-58.479381765132544,-15.706818164008794]}"
17_692,1,1,8.0,-11.862208411034072,0.0,8.0,8.0,0.0,-52.16377616013026,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-52.16377616013026,-11.862208411034072]}"
17_713,1,2,2.0,-31.845231906272826,1.0,3.0,2.0,0.0,-52.02983735126804,4.0,4.0,2002,3,"{""type"":""Point"",""coordinates"":[-52.02983735126804,-31.845231906272826]}"
17_744,1,1,5.0,-9.700053353686792,0.0,5.0,5.0,0.0,-64.53950650333124,3.0,5.0,2002,3,"{""type"":""Point"",""coordinates"":[-64.53950650333124,-9.700053353686792]}"
17_763,0,3,0.0,-12.556156968016404,0.0,0.0,0.0,1.0,-40.74259563783466,7.0,1.0,2002,1,"{""type"":""Point"",""coordinates"":[-40.74259563783466,-12.556156968016404]}"
17_776,1,3,2.0,-3.603816341066488,0.0,2.0,2.0,0.0,-45.195993658857184,6.0,2.0,2002,1,"{""type"":""Point"",""coordinates"":[-45.195993658857184,-3.603816341066488]}"
17_901,1,2,1.0,-12.434884404660265,0.0,1.0,1.0,0.0,-50.270307204263105,7.0,1.0,2002,1,"{""type"":""Point"",""coordinates"":[-50.270307204263105,-12.434884404660265]}"
17_907,1,1,5.0,-9.172652450380227,0.0,5.0,5.0,0.0,-49.45185214890183,3.0,5.0,2002,3,"{""type"":""Point"",""coordinates"":[-49.45185214890183,-9.172652450380227]}"
17_933,1,1,8.0,-10.531174654554178,0.0,8.0,8.0,0.0,-57.706471294676106,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-57.706471294676106,-10.531174654554178]}"
17_960,1,1,8.0,-1.9636722953210648,0.0,8.0,8.0,0.0,-48.937925974857045,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-48.937925974857045,-1.9636722953210648]}"
17_1017,1,1,0.0,-9.830219238355713,0.0,0.0,0.0,0.0,-44.275939144861965,8.0,0.0,2002,3,"{""type"":""Point"",""coordinates"":[-44.275939144861965,-9.830219238355713]}"
17_1060,1,1,4.0,-5.730937102333104,0.0,4.0,4.0,0.0,-38.29531530930785,4.0,4.0,2002,3,"{""type"":""Point"",""coordinates"":[-38.29531530930785,-5.730937102333104]}"
17_1102,1,1,2.0,-4.187002623516881,0.0,2.0,2.0,0.0,-47.50448427598752,6.0,2.0,2002,3,"{""type"":""Point"",""coordinates"":[-47.50448427598752,-4.187002623516881]}"
17_1143,1,3,2.0,-20.117366545978825,0.0,2.0,2.0,0.0,-50.06683879241005,6.0,2.0,2002,1,"{""type"":""Point"",""coordinates"":[-50.06683879241005,-20.117366545978825]}"
17_1198,1,1,8.0,-8.695916529097996,0.0,8.0,8.0,0.0,-63.44239404683607,0.0,8.0,2002,3,"{""type"":""Point"",""coordinates"":[-63.44239404683607,-8.695916529097996]}"
17_1217,0,1,0.0,-17.087977913342563,0.0,0.0,0.0,1.0,-44.25545755638405,7.0,1.0,2002,3,"{""type"":""Point"",""coordinates"":[-44.25545755638405,-17.087977913342563]}"
